orf_name,start,end,Unnamed: 5,orf_annotation,conserved_proteins,col,gene_type,cex,lty,lwd,pch,chr
gene_1_837327169_ext,2,316,+,hypothetical protein,,Gray,arrows,1,1,1,8,837327169_ext
gene_2_837327169_ext,423,644,+,hypothetical protein,,Gray,arrows,1,1,1,8,837327169_ext
gene_3_837327169_ext,641,880,+,hypothetical protein,,Gray,arrows,1,1,1,8,837327169_ext
gene_4_837327169_ext,1268,1459,-,hypothetical protein,,Gray,arrows,1,1,1,8,837327169_ext
gene_5_837327169_ext,1634,2164,-,hypothetical protein,,Gray,arrows,1,1,1,8,837327169_ext
gene_6_837327169_ext,2957,3301,+,hypothetical protein,,Gray,arrows,1,1,1,8,837327169_ext
gene_7_837327169_ext,3911,4366,+,hypothetical protein,,Gray,arrows,1,1,1,8,837327169_ext
gene_8_837327169_ext,4341,5798,+,UvrD/REP helicase,,whitesmoke,arrows,1,1,1,8,837327169_ext
gene_9_837327169_ext,5795,6859,+,hypothetical protein,,Gray,arrows,1,1,1,8,837327169_ext
gene_10_837327169_ext,6846,6965,+,hypothetical protein,,Gray,arrows,1,1,1,8,837327169_ext
gene_11_837327169_ext,6965,7228,+,hypothetical protein,,Gray,arrows,1,1,1,8,837327169_ext
gene_12_837327169_ext,7225,7506,+,hypothetical protein,,Gray,arrows,1,1,1,8,837327169_ext
gene_13_837327169_ext,7509,7748,+,hypothetical protein,,Gray,arrows,1,1,1,8,837327169_ext
gene_14_837327169_ext,7748,8890,+,Protein of unknown function (DUF3072),,grey35,arrows,1,1,1,8,837327169_ext
gene_15_837327169_ext,8892,8972,+,hypothetical protein,,Gray,arrows,1,1,1,8,837327169_ext
gene_16_837327169_ext,8965,9198,+,hypothetical protein,,Gray,arrows,1,1,1,8,837327169_ext
gene_17_837327169_ext,9240,9437,+,hypothetical protein,,Gray,arrows,1,1,1,8,837327169_ext
gene_18_837327169_ext,9514,11385,+,ribonucleoside-triphosphate reductase,,whitesmoke,arrows,1,1,1,8,837327169_ext
gene_19_837327169_ext,11375,11683,+,hypothetical protein,,Gray,arrows,1,1,1,8,837327169_ext
gene_20_837327169_ext,11649,12917,+,hypothetical protein,,Gray,arrows,1,1,1,8,837327169_ext
gene_21_837327169_ext,12904,13797,+,Transcription initiation factor TFIIIB,,whitesmoke,arrows,1,1,1,8,837327169_ext
gene_22_837327169_ext,13794,14006,+,hypothetical protein,,Gray,arrows,1,1,1,8,837327169_ext
gene_23_837327169_ext,14012,14575,+,ThiF family protein,,whitesmoke,arrows,1,1,1,8,837327169_ext
gene_24_837327169_ext,14572,14730,+,hypothetical protein,,Gray,arrows,1,1,1,8,837327169_ext
gene_25_837327169_ext,14727,15110,+,hypothetical protein,,Gray,arrows,1,1,1,8,837327169_ext
gene_26_837327169_ext,15097,15612,+,Prokaryotic homologs of the JAB domain,,whitesmoke,arrows,1,1,1,8,837327169_ext
